doi,title,url,category,pubDate
,"A circular biorefinery approach for mango and lemon industrial waste: on-site Aspergillus welwitschiae cellulase production, enzymatic hydrolysis and bioethanol fermentation",https://www.sciencedirect.com/science/article/pii/S0961953426004381?dgcid=rss_sd_all,indoor,2026-05-11T12:01:35Z
,An in-situ photoderivative fluorescence enhancement method without chromatographic separation for Aflatoxin B1 (AFB1) detection,https://www.sciencedirect.com/science/article/pii/S0304389426012562?dgcid=rss_sd_all,indoor,2026-05-11T12:01:34Z
,Ventilation strategies for mold control during egg storage and transportation: A comprehensive evaluation integrating ITS sequencing and antibacterial efficacy,https://www.sciencedirect.com/science/article/pii/S0956713526002203?dgcid=rss_sd_all,health,2026-05-11T12:01:27Z
,Co-occurrence of mycotoxins contamination and risk assessment of dietary intake in maize (Zea mays L) from Nigeria,https://www.sciencedirect.com/science/article/pii/S095671352600246X?dgcid=rss_sd_all,health,2026-05-11T12:01:27Z
,Dual role and metabolic reprogramming: Key amino acids in marinade bidirectionally control aflatoxin B1 biosynthesis in Aspergillus parasiticus,https://www.sciencedirect.com/science/article/pii/S0740002026000626?dgcid=rss_sd_all,health,2026-05-11T12:01:27Z
,CPT on the inhibitory activity against Penicillium expansum and control of blue mold,https://www.sciencedirect.com/science/article/pii/S0740002026000857?dgcid=rss_sd_all,health,2026-05-11T12:01:27Z
,Glutathione S-transferase AaGST1 impacts the pathogenicity of Alternaria alternata through the regulation of the redox balance,https://www.sciencedirect.com/science/article/pii/S0740002026000894?dgcid=rss_sd_all,health,2026-05-11T12:01:27Z
,AppleMM: A multimodal model for apple moldy core diagnosis via low-fielda NMR and expert text fusion,https://www.sciencedirect.com/science/article/pii/S0956713526003129?dgcid=rss_sd_all,health,2026-05-11T12:01:27Z
,Mycotoxin field trial uncovers first aflatoxin B1 occurrence in maize in Lower Austria,https://www.sciencedirect.com/science/article/pii/S0956713526003038?dgcid=rss_sd_all,health,2026-05-11T12:01:27Z
,Pulsed light causes structural damage and proteomic alterations in Aspergillus brasiliensis conidia,https://www.sciencedirect.com/science/article/pii/S0740002026001061?dgcid=rss_sd_all,health,2026-05-11T12:01:27Z
,"Biochemical, transcriptomics, and metabolomics analyses reveal coordinated antioxidant responses in Penicillium digitatum under MAP-simulated gas conditions",https://www.sciencedirect.com/science/article/pii/S074000202600105X?dgcid=rss_sd_all,health,2026-05-11T12:01:27Z
,Metabolomic profiling and identification of flavonoids related compounds in peanut seed oils for inhibition of aspergillus flavus growth,https://www.sciencedirect.com/science/article/pii/S0308814626016249?dgcid=rss_sd_all,health,2026-05-11T12:01:23Z
,Aptamer-cDNA-driven nanozyme strategy: A recyclable dual-signal immunosensor for amplified detection of aflatoxin B1 in edible oil,https://www.sciencedirect.com/science/article/pii/S0963996926010331?dgcid=rss_sd_all,health,2026-05-11T12:01:23Z
,Assessing the antifungal resistance of synthesized tannic acid-modified silver nanoparticles against Aspergillus niger isogenic mutants,https://www.sciencedirect.com/science/article/pii/S1878614626000541?dgcid=rss_sd_all,science,2026-05-11T12:01:10Z
,Breaking the mould: cellulose in the cell walls of the Ophiostomatales,https://www.sciencedirect.com/science/article/pii/S1749461326000199?dgcid=rss_sd_all,science,2026-05-11T12:01:10Z
,Antifungal exposure variability in critically ill patients: Extending risk-based frameworks in invasive mould infections,https://www.sciencedirect.com/science/article/pii/S0163445326000423?dgcid=rss_sd_all,clinical,2026-05-04T11:02:00Z
,"Aflatoxin M1 contamination in milk samples from households in Lahore, Pakistan: Occurrence, exposure and risk characterization",https://www.sciencedirect.com/science/article/pii/S0956713526001842?dgcid=rss_sd_all,health,2026-05-04T11:01:30Z
10.1021/acs.jafc.6c00539?af=R,The Cysteine-Rich Secretory Protein TaSCP1-6B Modulates Resistance to Fusarium graminearum in Wheat,https://pubs.acs.org/doi/10.1021/acs.jafc.6c00539?af=R,health,2026-04-23T07:00:00Z
,Aflatoxin B1 in maize: A cross-country analysis of occurrence and dietary exposure,https://www.sciencedirect.com/science/article/pii/S0956713526001830?dgcid=rss_sd_all,health,2026-04-20T10:31:31Z
10.1021/acs.jafc.5c16825?af=R,Antimicrobial Peptide Spampcin56–86 Controls Fusarium graminearum and Mycotoxin via Membrane Disruption and Oxidative Burst with TRI Repression: A Strategy for Wheat Protection,https://pubs.acs.org/doi/10.1021/acs.jafc.5c16825?af=R,health,2026-04-17T07:00:00Z
,Advanced applications of electronic nose technology in grain storage and cereal product quality: A comprehensive review of freshness monitoring and mycotoxin detection – A review,https://www.sciencedirect.com/science/article/pii/S0956713526001386?dgcid=rss_sd_all,health,2026-04-13T10:29:22Z
,Energy efficiency in chemo-mechanical pretreatment of oil palm biomass: Sequence analysis and process optimization for enhanced bioethanol production,https://www.sciencedirect.com/science/article/pii/S0961953426002783?dgcid=rss_sd_all,indoor,2026-03-18T21:39:50Z
,Russia’s relentless interference since start of Ukraine war has failed to break Moldova,https://theconversation.com/russias-relentless-interference-since-start-of-ukraine-war-has-failed-to-break-moldova-276653,media,2026-03-13T13:57:14Z
,"CoFe Prussian blue analogue photothermal self-healing coating for resistance to corrosion, UV degradation and mold",https://www.sciencedirect.com/science/article/pii/S1385894726021509?dgcid=rss_sd_all,indoor,2026-03-05T22:26:33Z
,Recent advances of different dimensional materials for the fluorescent detection of mycotoxins,https://www.sciencedirect.com/science/article/pii/S0963996926003273?dgcid=rss_sd_all,health,2026-03-05T22:26:24Z
,Meyerozyma caribbica NJC41 degrades aflatoxin B1 into the non-toxic aflatoxin P1 and inhibits Aspergillus flavus proliferation in kiwifruit,https://www.sciencedirect.com/science/article/pii/S0963996926004576?dgcid=rss_sd_all,health,2026-03-05T22:26:24Z
,Comparative study on cold plasma technologies for mold inactivation and quality retention in white grapes,https://www.sciencedirect.com/science/article/pii/S0956713526001180?dgcid=rss_sd_all,health,2026-03-02T09:43:24Z
10.1080/21501203.2026.2613528?af=R,Metabologenomic profiling of the endemic Australian fungus Aspergillus luteorubrus,https://www.tandfonline.com/doi/full/10.1080/21501203.2026.2613528?af=R,science,2026-03-01T03:34:48Z
,"What is Aspergillus, the fungus behind recent hospital deaths?",https://theconversation.com/what-is-aspergillus-the-fungus-behind-recent-hospital-deaths-277067,media,2026-02-27T04:33:08Z
,Rapid and simultaneous detection of Aspergillus and aflatoxin B1 content in maize using data fusion and explainable analysis,https://www.sciencedirect.com/science/article/pii/S0956713526000320?dgcid=rss_sd_all,health,2026-02-26T13:59:21Z
,Mechanistic elucidation of aflatoxin B1 degradation in corn and peanuts via nonthermal plasma: Reactive species and kinetic insights,https://www.sciencedirect.com/science/article/pii/S0956713526000666?dgcid=rss_sd_all,health,2026-02-26T13:59:21Z
,Efficient removal of aflatoxin B1 from soybean kernels by a coupled ultrasound–ozone process: A mechanistic study,https://www.sciencedirect.com/science/article/pii/S0956713526000332?dgcid=rss_sd_all,health,2026-02-26T13:59:21Z
,"CRISPR/Cas9-mediated gene editing in filamentous fungi, focusing on mushrooms and plant-pathogenic fungi",https://www.sciencedirect.com/science/article/pii/S1749461325000363?dgcid=rss_sd_all,science,2026-02-18T11:22:35Z
,Antifungal efficacy and fumigation potential of octanal and (E)-2-octenal against Aspergillus flavus in stored peanut seeds,https://www.sciencedirect.com/science/article/pii/S0956713525008060?dgcid=rss_sd_all,health,2026-02-17T13:21:38Z
,Adhesive and redox modulatory nanopesticides with pathogenic microenvironment-regulated multi-enzymatic activities for synergistic control of ginseng gray mold,https://www.sciencedirect.com/science/article/pii/S1385894726015032?dgcid=rss_sd_all,indoor,2026-02-16T09:47:37Z
10.1007/s12550-025-00629-7,From climate change to analytical advances on mycotoxin research: key insights from the 46th Mycotoxin Workshop,https://link.springer.com/article/10.1007/s12550-025-00629-7,health,2025-12-23T00:00:00Z
10.1080/21501203.2025.2522081?af=R,Pyruvate decarboxylase and its lysine succinylation contribute to the development and metabolite biosynthesis in pathogenic fungus Aspergillus flavus,https://www.tandfonline.com/doi/full/10.1080/21501203.2025.2522081?af=R,science,2025-07-11T02:25:41Z
10.1080/21501203.2025.2527381?af=R,"Functionally redundant Rho GTPases Cdc42 and RacA regulate aflatoxin synthesis and pathogenicity in Aspergillus flavus by controlling morphogenesis, oxidative balance and energy metabolism",https://www.tandfonline.com/doi/full/10.1080/21501203.2025.2527381?af=R,science,2025-07-10T07:43:36Z
10.1080/21501203.2025.2526766?af=R,Discovery of new bianthrones and chlorinated bianthrones with cytotoxic activity against cancer cells from Penicillium hispanicum guided by HSQC-based DeepSAT,https://www.tandfonline.com/doi/full/10.1080/21501203.2025.2526766?af=R,science,2025-07-10T07:39:54Z
